date,score,classification
2023-01-01,48.1,Fear
2023-01-02,47.6,Fear
2023-01-03,49.8,Fear
2023-01-04,55.1,Fear
2023-01-05,54.3,Fear
2023-01-06,53.5,Fear
2023-01-07,58.9,Fear
2023-01-08,61.5,Greed
2023-01-09,59.9,Fear
2023-01-10,61.7,Greed
2023-01-11,60.2,Greed
2023-01-12,58.6,Fear
2023-01-13,59.4,Fear
2023-01-14,52.8,Fear
2023-01-15,46.9,Fear
2023-01-16,45.0,Fear
2023-01-17,41.5,Fear
2023-01-18,42.6,Fear
2023-01-19,39.5,Fear
2023-01-20,34.6,Fear
2023-01-21,39.7,Fear
2023-01-22,38.9,Fear
2023-01-23,39.1,Fear
2023-01-24,34.2,Fear
2023-01-25,32.4,Fear
2023-01-26,32.7,Fear
2023-01-27,28.8,Fear
2023-01-28,30.1,Fear
2023-01-29,28.0,Fear
2023-01-30,27.0,Fear
2023-01-31,25.0,Fear
2023-02-01,31.3,Fear
2023-02-02,31.3,Fear
2023-02-03,27.6,Fear
2023-02-04,30.5,Fear
2023-02-05,26.3,Fear
2023-02-06,27.0,Fear
2023-02-07,20.3,Fear
2023-02-08,15.7,Fear
2023-02-09,16.4,Fear
2023-02-10,18.9,Fear
2023-02-11,19.5,Fear
2023-02-12,19.1,Fear
2023-02-13,18.1,Fear
2023-02-14,13.0,Fear
2023-02-15,10.5,Fear
2023-02-16,9.0,Fear
2023-02-17,12.6,Fear
2023-02-18,13.8,Fear
2023-02-19,7.7,Fear
2023-02-20,8.8,Fear
2023-02-21,7.5,Fear
2023-02-22,5.2,Fear
2023-02-23,7.3,Fear
2023-02-24,10.8,Fear
2023-02-25,14.0,Fear
2023-02-26,11.1,Fear
2023-02-27,10.1,Fear
2023-02-28,11.2,Fear
2023-03-01,14.6,Fear
2023-03-02,12.9,Fear
2023-03-03,12.3,Fear
2023-03-04,8.5,Fear
2023-03-05,4.4,Fear
2023-03-06,7.2,Fear
2023-03-07,11.8,Fear
2023-03-08,11.6,Fear
2023-03-09,15.0,Fear
2023-03-10,16.3,Fear
2023-03-11,14.0,Fear
2023-03-12,15.3,Fear
2023-03-13,20.6,Fear
2023-03-14,20.4,Fear
2023-03-15,25.8,Fear
2023-03-16,16.8,Fear
2023-03-17,19.6,Fear
2023-03-18,19.9,Fear
2023-03-19,18.9,Fear
2023-03-20,19.2,Fear
2023-03-21,12.4,Fear
2023-03-22,11.7,Fear
2023-03-23,12.9,Fear
2023-03-24,18.0,Fear
2023-03-25,16.2,Fear
2023-03-26,13.4,Fear
2023-03-27,11.7,Fear
2023-03-28,14.8,Fear
2023-03-29,15.9,Fear
2023-03-30,14.1,Fear
2023-03-31,15.9,Fear
2023-04-01,16.2,Fear
2023-04-02,19.5,Fear
2023-04-03,17.1,Fear
2023-04-04,16.0,Fear
2023-04-05,14.7,Fear
2023-04-06,9.7,Fear
2023-04-07,10.7,Fear
2023-04-08,11.6,Fear
2023-04-09,11.6,Fear
2023-04-10,10.8,Fear
2023-04-11,5.9,Fear
2023-04-12,4.5,Fear
2023-04-13,3.3,Fear
2023-04-14,0.6,Fear
2023-04-15,0.0,
2023-04-16,1.4,Fear
2023-04-17,7.9,Fear
2023-04-18,8.5,Fear
2023-04-19,9.3,Fear
2023-04-20,9.1,Fear
2023-04-21,2.5,Fear
2023-04-22,2.4,Fear
2023-04-23,2.6,Fear
2023-04-24,11.1,Fear
2023-04-25,10.4,Fear
2023-04-26,11.4,Fear
2023-04-27,11.3,Fear
2023-04-28,7.3,Fear
2023-04-29,11.2,Fear
2023-04-30,13.8,Fear
2023-05-01,16.5,Fear
2023-05-02,13.4,Fear
2023-05-03,18.2,Fear
2023-05-04,13.4,Fear
2023-05-05,15.4,Fear
2023-05-06,22.9,Fear
2023-05-07,19.5,Fear
2023-05-08,17.6,Fear
2023-05-09,17.9,Fear
2023-05-10,16.2,Fear
2023-05-11,10.9,Fear
2023-05-12,11.1,Fear
2023-05-13,7.5,Fear
2023-05-14,9.1,Fear
2023-05-15,6.0,Fear
2023-05-16,11.3,Fear
2023-05-17,8.6,Fear
2023-05-18,7.5,Fear
2023-05-19,10.3,Fear
2023-05-20,6.0,Fear
2023-05-21,6.8,Fear
2023-05-22,11.3,Fear
2023-05-23,5.8,Fear
2023-05-24,6.4,Fear
2023-05-25,7.3,Fear
2023-05-26,10.0,Fear
2023-05-27,5.8,Fear
2023-05-28,1.2,Fear
2023-05-29,3.0,Fear
2023-05-30,4.0,Fear
2023-05-31,4.9,Fear
2023-06-01,6.1,Fear
2023-06-02,3.8,Fear
2023-06-03,4.6,Fear
2023-06-04,5.6,Fear
2023-06-05,3.1,Fear
2023-06-06,9.5,Fear
2023-06-07,11.1,Fear
2023-06-08,7.0,Fear
2023-06-09,9.3,Fear
2023-06-10,6.0,Fear
2023-06-11,8.7,Fear
2023-06-12,12.6,Fear
2023-06-13,9.8,Fear
2023-06-14,13.1,Fear
2023-06-15,14.5,Fear
2023-06-16,17.3,Fear
2023-06-17,23.9,Fear
2023-06-18,23.0,Fear
2023-06-19,20.4,Fear
2023-06-20,17.4,Fear
2023-06-21,14.6,Fear
2023-06-22,14.3,Fear
2023-06-23,15.5,Fear
2023-06-24,16.4,Fear
2023-06-25,19.3,Fear
2023-06-26,19.3,Fear
2023-06-27,24.3,Fear
2023-06-28,23.4,Fear
2023-06-29,32.7,Fear
2023-06-30,34.9,Fear
2023-07-01,31.9,Fear
2023-07-02,28.3,Fear
2023-07-03,29.9,Fear
2023-07-04,29.1,Fear
2023-07-05,31.6,Fear
2023-07-06,33.2,Fear
2023-07-07,33.0,Fear
2023-07-08,30.1,Fear
2023-07-09,24.9,Fear
2023-07-10,23.3,Fear
2023-07-11,26.3,Fear
2023-07-12,27.0,Fear
2023-07-13,22.7,Fear
2023-07-14,23.3,Fear
2023-07-15,24.6,Fear
2023-07-16,21.6,Fear
2023-07-17,22.1,Fear
2023-07-18,22.3,Fear
2023-07-19,18.4,Fear
2023-07-20,19.7,Fear
2023-07-21,21.6,Fear
2023-07-22,25.3,Fear
2023-07-23,28.9,Fear
2023-07-24,24.2,Fear
2023-07-25,21.0,Fear
2023-07-26,22.7,Fear
2023-07-27,24.5,Fear
2023-07-28,26.3,Fear
2023-07-29,39.5,Fear
2023-07-30,41.4,Fear
2023-07-31,45.3,Fear
2023-08-01,48.6,Fear
2023-08-02,50.8,Fear
2023-08-03,49.7,Fear
2023-08-04,52.3,Fear
2023-08-05,49.7,Fear
2023-08-06,48.9,Fear
2023-08-07,47.2,Fear
2023-08-08,47.5,Fear
2023-08-09,55.4,Fear
2023-08-10,49.0,Fear
2023-08-11,51.4,Fear
2023-08-12,45.9,Fear
2023-08-13,44.2,Fear
2023-08-14,48.0,Fear
2023-08-15,48.2,Fear
2023-08-16,44.5,Fear
2023-08-17,42.0,Fear
2023-08-18,44.4,Fear
2023-08-19,41.9,Fear
2023-08-20,42.6,Fear
2023-08-21,42.8,Fear
2023-08-22,40.5,Fear
2023-08-23,47.9,Fear
2023-08-24,50.1,Fear
2023-08-25,43.1,Fear
2023-08-26,43.8,Fear
2023-08-27,41.5,Fear
2023-08-28,44.4,Fear
2023-08-29,41.7,Fear
2023-08-30,41.3,Fear
2023-08-31,43.0,Fear
2023-09-01,46.0,Fear
2023-09-02,41.9,Fear
2023-09-03,40.7,Fear
2023-09-04,39.1,Fear
2023-09-05,36.9,Fear
2023-09-06,42.9,Fear
2023-09-07,44.3,Fear
2023-09-08,40.0,Fear
2023-09-09,43.1,Fear
2023-09-10,50.4,Fear
2023-09-11,53.9,Fear
2023-09-12,48.7,Fear
2023-09-13,47.1,Fear
2023-09-14,51.4,Fear
2023-09-15,49.0,Fear
2023-09-16,50.5,Fear
2023-09-17,53.2,Fear
2023-09-18,50.0,Fear
2023-09-19,49.8,Fear
2023-09-20,38.7,Fear
2023-09-21,35.2,Fear
2023-09-22,34.3,Fear
2023-09-23,30.0,Fear
2023-09-24,35.6,Fear
2023-09-25,30.7,Fear
2023-09-26,29.2,Fear
2023-09-27,29.7,Fear
2023-09-28,34.6,Fear
2023-09-29,29.7,Fear
2023-09-30,33.7,Fear
2023-10-01,33.7,Fear
2023-10-02,30.3,Fear
2023-10-03,31.9,Fear
2023-10-04,32.6,Fear
2023-10-05,30.5,Fear
2023-10-06,30.8,Fear
2023-10-07,29.5,Fear
2023-10-08,29.8,Fear
2023-10-09,32.1,Fear
2023-10-10,37.6,Fear
2023-10-11,33.3,Fear
2023-10-12,40.6,Fear
2023-10-13,33.9,Fear
2023-10-14,33.4,Fear
2023-10-15,35.4,Fear
2023-10-16,36.4,Fear
2023-10-17,34.3,Fear
2023-10-18,33.5,Fear
2023-10-19,31.9,Fear
2023-10-20,29.8,Fear
2023-10-21,32.7,Fear
2023-10-22,34.0,Fear
2023-10-23,31.6,Fear
2023-10-24,34.7,Fear
2023-10-25,35.7,Fear
2023-10-26,38.5,Fear
2023-10-27,40.7,Fear
2023-10-28,37.8,Fear
2023-10-29,35.9,Fear
2023-10-30,38.5,Fear
2023-10-31,40.6,Fear
2023-11-01,40.5,Fear
2023-11-02,40.9,Fear
2023-11-03,45.3,Fear
2023-11-04,43.3,Fear
2023-11-05,45.1,Fear
2023-11-06,44.4,Fear
2023-11-07,43.7,Fear
2023-11-08,47.5,Fear
2023-11-09,50.3,Fear
2023-11-10,53.1,Fear
2023-11-11,57.6,Fear
2023-11-12,57.6,Fear
2023-11-13,60.0,Fear
2023-11-14,58.9,Fear
2023-11-15,60.0,Greed
2023-11-16,59.6,Fear
2023-11-17,59.9,Fear
2023-11-18,61.9,Greed
2023-11-19,59.1,Fear
2023-11-20,66.3,Greed
2023-11-21,62.9,Greed
2023-11-22,58.7,Fear
2023-11-23,62.7,Greed
2023-11-24,65.4,Greed
2023-11-25,67.5,Greed
2023-11-26,69.7,Greed
2023-11-27,69.6,Greed
2023-11-28,66.6,Greed
2023-11-29,66.8,Greed
2023-11-30,64.5,Greed
2023-12-01,67.8,Greed
2023-12-02,67.3,Greed
2023-12-03,64.5,Greed
2023-12-04,63.4,Greed
2023-12-05,64.8,Greed
2023-12-06,62.9,Greed
2023-12-07,60.1,Greed
2023-12-08,60.9,Greed
2023-12-09,61.7,Greed
2023-12-10,60.0,Greed
2023-12-11,58.4,Fear
2023-12-12,59.2,Fear
2023-12-13,54.2,Fear
2023-12-14,49.4,Fear
2023-12-15,46.9,Fear
2023-12-16,46.2,Fear
2023-12-17,47.3,Fear
2023-12-18,52.3,Fear
2023-12-19,55.3,Fear
2023-12-20,54.7,Fear
2023-12-21,54.6,Fear
2023-12-22,51.2,Fear
2023-12-23,51.1,Fear
2023-12-24,50.2,Fear
2023-12-25,51.3,Fear
2023-12-26,48.4,Fear
2023-12-27,50.2,Fear
2023-12-28,55.5,Fear
2023-12-29,55.1,Fear
2023-12-30,56.5,Fear
2023-12-31,58.8,Fear
2024-01-01,57.5,Fear
2024-01-02,58.2,Fear
2024-01-03,58.3,Fear
2024-01-04,58.6,Fear
2024-01-05,56.0,Fear
2024-01-06,56.0,Fear
2024-01-07,57.7,Fear
2024-01-08,62.7,Greed
2024-01-09,66.0,Greed
2024-01-10,73.4,Greed
2024-01-11,70.8,Greed
2024-01-12,73.8,Greed
2024-01-13,74.4,Greed
2024-01-14,81.9,Greed
2024-01-15,79.1,Greed
2024-01-16,76.2,Greed
2024-01-17,74.2,Greed
2024-01-18,66.9,Greed
2024-01-19,65.1,Greed
2024-01-20,62.5,Greed
2024-01-21,63.0,Greed
2024-01-22,64.2,Greed
2024-01-23,70.6,Greed
2024-01-24,73.9,Greed
2024-01-25,71.9,Greed
2024-01-26,68.8,Greed
2024-01-27,70.5,Greed
2024-01-28,66.0,Greed
2024-01-29,72.3,Greed
2024-01-30,76.3,Greed
2024-01-31,74.7,Greed
2024-02-01,68.8,Greed
2024-02-02,73.5,Greed
2024-02-03,73.1,Greed
2024-02-04,77.3,Greed
2024-02-05,71.8,Greed
2024-02-06,69.8,Greed
2024-02-07,69.8,Greed
2024-02-08,70.0,Greed
2024-02-09,68.4,Greed
2024-02-10,70.6,Greed
2024-02-11,66.9,Greed
2024-02-12,66.4,Greed
2024-02-13,66.8,Greed
2024-02-14,68.6,Greed
2024-02-15,71.0,Greed
2024-02-16,67.2,Greed
2024-02-17,61.9,Greed
2024-02-18,66.3,Greed
2024-02-19,67.4,Greed
2024-02-20,64.9,Greed
2024-02-21,70.2,Greed
2024-02-22,70.6,Greed
2024-02-23,74.6,Greed
2024-02-24,74.9,Greed
2024-02-25,81.9,Greed
2024-02-26,87.9,Greed
2024-02-27,87.1,Greed
2024-02-28,90.4,Greed
2024-02-29,92.6,Greed
2024-03-01,97.3,Greed
2024-03-02,94.0,Greed
2024-03-03,96.4,Greed
2024-03-04,100.0,Greed
2024-03-05,94.0,Greed
2024-03-06,89.9,Greed
2024-03-07,82.9,Greed
2024-03-08,82.0,Greed
2024-03-09,84.5,Greed
2024-03-10,89.6,Greed
2024-03-11,89.9,Greed
2024-03-12,95.4,Greed
2024-03-13,90.7,Greed
2024-03-14,84.9,Greed
2024-03-15,84.7,Greed
2024-03-16,86.0,Greed
2024-03-17,85.9,Greed
2024-03-18,78.8,Greed
2024-03-19,78.5,Greed
2024-03-20,74.0,Greed
2024-03-21,76.3,Greed
2024-03-22,77.6,Greed
2024-03-23,74.3,Greed
2024-03-24,72.6,Greed
2024-03-25,69.0,Greed
2024-03-26,68.7,Greed
2024-03-27,72.0,Greed
2024-03-28,68.6,Greed
2024-03-29,70.4,Greed
2024-03-30,68.5,Greed
2024-03-31,65.8,Greed
2024-04-01,65.5,Greed
2024-04-02,61.9,Greed
2024-04-03,60.0,Greed
2024-04-04,55.9,Fear
2024-04-05,62.6,Greed
2024-04-06,62.8,Greed
2024-04-07,60.4,Greed
2024-04-08,61.1,Greed
2024-04-09,60.7,Greed
2024-04-10,60.0,Fear
2024-04-11,62.1,Greed
2024-04-12,64.7,Greed
2024-04-13,62.8,Greed
2024-04-14,60.9,Greed
2024-04-15,59.9,Fear
2024-04-16,52.0,Fear
2024-04-17,46.8,Fear
2024-04-18,51.5,Fear
2024-04-19,57.2,Fear
2024-04-20,56.3,Fear
2024-04-21,58.3,Fear
2024-04-22,59.3,Fear
2024-04-23,69.9,Greed
2024-04-24,73.7,Greed
2024-04-25,73.3,Greed
2024-04-26,70.0,Greed
2024-04-27,64.5,Greed
2024-04-28,65.2,Greed
2024-04-29,62.6,Greed
2024-04-30,57.7,Fear
2024-05-01,55.5,Fear
2024-05-02,51.8,Fear
2024-05-03,57.6,Fear
2024-05-04,60.6,Greed
2024-05-05,60.6,Greed
2024-05-06,65.7,Greed
2024-05-07,65.9,Greed
2024-05-08,63.0,Greed
2024-05-09,68.2,Greed
2024-05-10,70.1,Greed
2024-05-11,66.5,Greed
2024-05-12,65.9,Greed
2024-05-13,62.9,Greed
2024-05-14,58.1,Fear
2024-05-15,61.3,Greed
2024-05-16,67.8,Greed
2024-05-17,63.0,Greed
2024-05-18,65.0,Greed
2024-05-19,62.7,Greed
2024-05-20,61.1,Greed
2024-05-21,59.0,Fear
2024-05-22,56.1,Fear
2024-05-23,56.2,Fear
2024-05-24,53.4,Fear
2024-05-25,54.3,Fear
2024-05-26,54.1,Fear
2024-05-27,53.3,Fear
2024-05-28,50.2,Fear
2024-05-29,48.2,Fear
2024-05-30,50.8,Fear
2024-05-31,52.5,Fear
2024-06-01,49.2,Fear
2024-06-02,49.5,Fear
2024-06-03,52.1,Fear
2024-06-04,46.4,Fear
2024-06-05,48.2,Fear
2024-06-06,46.0,Fear
2024-06-07,47.9,Fear
2024-06-08,45.3,Fear
2024-06-09,39.1,Fear
2024-06-10,33.5,Fear
2024-06-11,33.7,Fear
2024-06-12,34.6,Fear
2024-06-13,31.5,Fear
2024-06-14,33.7,Fear
2024-06-15,28.0,Fear
2024-06-16,27.8,Fear
2024-06-17,23.6,Fear
2024-06-18,21.4,Fear
2024-06-19,21.5,Fear
2024-06-20,18.6,Fear
2024-06-21,17.3,Fear
2024-06-22,20.7,Fear
2024-06-23,18.7,Fear
2024-06-24,21.6,Fear
2024-06-25,17.7,Fear
2024-06-26,19.5,Fear
2024-06-27,24.5,Fear
2024-06-28,16.0,Fear
2024-06-29,13.3,Fear
2024-06-30,15.3,Fear
